,Unnamed: 0,root,base,class,split,class name,Circles,Avg Circles Area,Circle Centers STD,Contour Area,Contour Count,Contour Area Std
0,0,Segmented/valid/Early/WBC-Malignant-Early-898.jpg,WBC-Malignant-Early-898.jpg,2,valid,Early,0,0.0,0.0,437.625,4,102.95470788166999
1,1,Segmented/valid/Early/WBC-Malignant-Early-913.jpg,WBC-Malignant-Early-913.jpg,2,valid,Early,3,1583.5231950192256,80.4288216661386,441.6,5,49.20101624966704
2,2,Segmented/valid/Early/WBC-Malignant-Early-907.jpg,WBC-Malignant-Early-907.jpg,2,valid,Early,4,1604.4275654520886,74.36792171112589,442.75,4,52.34799423091586
3,3,Segmented/valid/Early/WBC-Malignant-Early-906.jpg,WBC-Malignant-Early-906.jpg,2,valid,Early,12,1521.6325507540614,97.28700178709012,549.1111111111111,9,330.1134298134656
4,4,Segmented/valid/Early/WBC-Malignant-Early-912.jpg,WBC-Malignant-Early-912.jpg,2,valid,Early,4,1667.9631437841017,115.37471461340763,527.6,5,60.02782688053933
5,5,Segmented/valid/Early/WBC-Malignant-Early-899.jpg,WBC-Malignant-Early-899.jpg,2,valid,Early,5,1421.2230337568676,98.93840881509202,472.75,4,85.73979531116225
6,6,Segmented/valid/Early/WBC-Malignant-Early-904.jpg,WBC-Malignant-Early-904.jpg,2,valid,Early,5,1879.5674621434573,107.03044793982328,628.0,6,284.64700361441834
7,7,Segmented/valid/Early/WBC-Malignant-Early-910.jpg,WBC-Malignant-Early-910.jpg,2,valid,Early,7,1225.4423097189317,103.43953589902456,395.35714285714283,7,64.21599393882353
8,8,Segmented/valid/Early/WBC-Malignant-Early-911.jpg,WBC-Malignant-Early-911.jpg,2,valid,Early,5,1719.6798708458098,91.10297528183676,461.75,6,105.56386297718868
9,9,Segmented/valid/Early/WBC-Malignant-Early-905.jpg,WBC-Malignant-Early-905.jpg,2,valid,Early,4,1542.1256876702123,94.18499262836072,421.1666666666667,6,79.7374162834209
10,10,Segmented/valid/Early/WBC-Malignant-Early-929.jpg,WBC-Malignant-Early-929.jpg,2,valid,Early,6,1501.2764916768144,81.96410041576661,723.4166666666666,6,791.2969531443651
11,11,Segmented/valid/Early/WBC-Malignant-Early-901.jpg,WBC-Malignant-Early-901.jpg,2,valid,Early,10,1445.008780363493,136.616611930645,378.125,8,106.30344244190778
12,12,Segmented/valid/Early/WBC-Malignant-Early-915.jpg,WBC-Malignant-Early-915.jpg,2,valid,Early,5,1517.5503727114997,109.2702655145778,383.6666666666667,6,32.70151202756363
13,13,Segmented/valid/Early/WBC-Malignant-Early-914.jpg,WBC-Malignant-Early-914.jpg,2,valid,Early,9,1611.426150671689,95.91361109222868,530.4285714285714,7,241.0455541669945
14,14,Segmented/valid/Early/WBC-Malignant-Early-900.jpg,WBC-Malignant-Early-900.jpg,2,valid,Early,10,1566.898394716946,90.4537858423658,582.2857142857143,7,287.32036091429086
15,15,Segmented/valid/Early/WBC-Malignant-Early-928.jpg,WBC-Malignant-Early-928.jpg,2,valid,Early,5,1468.9919190581395,137.48617009477044,402.75,8,77.60476789476276
16,16,Segmented/valid/Early/WBC-Malignant-Early-889.jpg,WBC-Malignant-Early-889.jpg,2,valid,Early,8,1511.4373864855752,124.01452219858626,353.94444444444446,9,152.84749924251742
17,17,Segmented/valid/Early/WBC-Malignant-Early-916.jpg,WBC-Malignant-Early-916.jpg,2,valid,Early,3,1501.2764916768144,94.30290514503976,471.0,4,64.469954242267
18,18,Segmented/valid/Early/WBC-Malignant-Early-902.jpg,WBC-Malignant-Early-902.jpg,2,valid,Early,7,1421.2230337568676,128.11240594433752,511.7142857142857,7,103.85699548034347
19,19,Segmented/valid/Early/WBC-Malignant-Early-903.jpg,WBC-Malignant-Early-903.jpg,2,valid,Early,11,1738.681714162155,102.38197983089232,556.375,8,237.75299025459174
20,20,Segmented/valid/Early/WBC-Malignant-Early-917.jpg,WBC-Malignant-Early-917.jpg,2,valid,Early,1,1667.9631437841017,0.0,493.0,3,8.16496580927726
21,21,Segmented/valid/Early/WBC-Malignant-Early-888.jpg,WBC-Malignant-Early-888.jpg,2,valid,Early,7,1489.7060030705488,84.85662953639883,434.85714285714283,7,23.26050344270655
22,22,Segmented/valid/Early/WBC-Malignant-Early-891.jpg,WBC-Malignant-Early-891.jpg,2,valid,Early,3,1583.5231950192256,107.8302744165531,399.5,7,78.3399186694935
23,23,Segmented/valid/Early/WBC-Malignant-Early-932.jpg,WBC-Malignant-Early-932.jpg,2,valid,Early,7,1595.4517645107917,115.5350467942868,510.9,5,169.8780150578644
24,24,Segmented/valid/Early/WBC-Malignant-Early-926.jpg,WBC-Malignant-Early-926.jpg,2,valid,Early,6,1711.0055851999634,118.39323259664604,453.85714285714283,7,221.07573270677344
25,25,Segmented/valid/Early/WBC-Malignant-Early-927.jpg,WBC-Malignant-Early-927.jpg,2,valid,Early,5,1517.5503727114997,104.28665394210624,476.75,4,70.58018489632909
26,26,Segmented/valid/Early/WBC-Malignant-Early-933.jpg,WBC-Malignant-Early-933.jpg,2,valid,Early,7,1321.5198872560666,102.49320407918287,501.7857142857143,7,336.76166404053026
27,27,Segmented/valid/Early/WBC-Malignant-Early-890.jpg,WBC-Malignant-Early-890.jpg,2,valid,Early,5,1328.053968210584,124.03351009836628,446.75,6,96.7754057943787
28,28,Segmented/valid/Early/WBC-Malignant-Early-892.jpg,WBC-Malignant-Early-892.jpg,2,valid,Early,9,1474.3483117676694,87.19475012448177,643.3571428571429,7,298.4769330984168
